lon,lat,alt,rel_alt,heading,time
55.4718207,10.3250211,15.731,0.074,319.0,1669364541.3658457
55.4718207,10.3250211,15.731,0.074,319.0,1669364542.3658476
55.4718207,10.3250211,15.731,0.074,319.0,1669364543.365798
55.4718207,10.3250211,15.731,0.074,319.0,1669364544.3658502
55.4718207,10.3250211,15.731,0.074,319.0,1669364545.3658519
55.4718207,10.3250211,15.731,0.074,319.0,1669364546.3658187
55.4718207,10.3250211,15.731,0.074,319.0,1669364547.3658516
55.4718207,10.3250211,15.731,0.074,319.0,1669364548.365862
55.4718207,10.3250211,15.731,0.074,319.0,1669364549.3658373
55.4718207,10.3250211,15.731,0.074,319.0,1669364550.3658884
55.4718207,10.3250211,15.731,0.074,319.0,1669364551.3658495
55.4718207,10.3250211,15.731,0.074,319.0,1669364552.3658495
55.4718207,10.3250211,15.731,0.074,319.0,1669364553.3658378
55.4718207,10.3250211,15.731,0.074,319.0,1669364554.365835
55.4718207,10.3250211,15.731,0.074,319.0,1669364555.3658373
55.4718207,10.3250211,15.731,0.074,319.0,1669364556.3658607
55.4718207,10.3250211,15.731,0.074,319.0,1669364557.365835
55.4718207,10.3250211,15.731,0.074,319.0,1669364558.365816
55.4718207,10.3250211,15.731,0.074,319.0,1669364559.3658378
55.4718207,10.3250211,15.731,0.074,319.0,1669364560.365856
55.4718207,10.3250211,15.731,0.074,319.0,1669364561.3658283
55.4718207,10.3250211,15.731,0.074,319.0,1669364562.3655603
55.4718207,10.3250211,15.731,0.074,319.0,1669364563.3658504
55.4718207,10.3250211,15.731,0.074,319.0,1669364564.365882
55.4718207,10.3250211,15.731,0.074,319.0,1669364565.365865
55.4718207,10.3250211,15.731,0.074,319.0,1669364566.365818
55.4718207,10.3250211,15.731,0.074,319.0,1669364567.3660424
55.4718207,10.3250211,15.731,0.074,319.0,1669364568.3658412
55.4718207,10.3250211,15.731,0.074,319.0,1669364569.365825
55.4718207,10.3250211,15.731,0.074,319.0,1669364570.3658817
55.4718207,10.3250211,15.731,0.074,319.0,1669364571.3658288
55.4718207,10.3250211,15.731,0.074,319.0,1669364572.3658662
55.4718207,10.3250211,15.731,0.074,319.0,1669364573.3658388
55.4718207,10.3250211,15.731,0.074,319.0,1669364574.3658342
55.4718207,10.3250211,15.731,0.074,319.0,1669364575.365828
55.4718207,10.3250211,15.731,0.074,319.0,1669364576.3658373
55.4718207,10.3250211,15.731,0.074,319.0,1669364577.365875
55.4718207,10.3250211,15.731,0.074,319.0,1669364578.3658516
55.4718207,10.3250211,15.731,0.074,319.0,1669364579.3657463
55.4718207,10.3250211,15.731,0.074,319.0,1669364580.365753
55.4718207,10.3250211,15.731,0.074,319.0,1669364581.3658006
55.4718207,10.3250211,15.731,0.074,319.0,1669364582.3658803
55.4718207,10.3250211,15.731,0.074,319.0,1669364583.365797
55.4718207,10.3250211,15.731,0.074,319.0,1669364584.3658624
55.4718207,10.3250211,15.731,0.074,319.0,1669364585.3658905
55.4718207,10.3250211,15.731,0.074,319.0,1669364586.365867
55.4718207,10.3250211,15.731,0.074,319.0,1669364587.3658683
55.4718207,10.3250211,15.731,0.074,319.0,1669364588.3658695
55.4718207,10.3250211,15.731,0.074,319.0,1669364589.3658674
55.4718207,10.3250211,15.731,0.074,319.0,1669364590.3658676
55.4718207,10.3250211,15.731,0.074,319.0,1669364591.3658834
55.4718207,10.3250211,15.731,0.074,319.0,1669364592.3658679
55.4718207,10.3250211,15.731,0.074,319.0,1669364593.3658319
55.4718207,10.3250211,15.731,0.074,319.0,1669364594.365859
55.4718207,10.3250211,15.731,0.074,319.0,1669364595.3658688
55.4718207,10.3250211,15.731,0.074,319.0,1669364596.365882
55.4718207,10.3250211,15.731,0.074,319.0,1669364597.3658667
55.4718207,10.3250211,15.731,0.074,319.0,1669364598.365847
55.4718207,10.3250211,15.731,0.074,319.0,1669364599.3658247
55.4718207,10.3250211,15.731,0.074,319.0,1669364600.365826
55.4718207,10.3250211,15.731,0.074,319.0,1669364601.3658392
55.4718207,10.3250211,15.731,0.074,319.0,1669364602.3658059
55.4718207,10.3250211,15.731,0.074,319.0,1669364603.3650882
55.4718207,10.3250211,15.731,0.074,319.0,1669364604.3656914
55.4718207,10.3250211,15.731,0.074,319.0,1669364605.365757
55.4718207,10.3250211,15.731,0.074,319.0,1669364606.365748
55.4718207,10.3250211,15.731,0.074,319.0,1669364607.365567
55.4718207,10.3250211,15.731,0.074,319.0,1669364608.36579
55.4718207,10.3250211,15.731,0.074,319.0,1669364609.3658748
55.4718207,10.3250211,15.731,0.074,319.0,1669364610.365846
55.4718207,10.3250211,15.731,0.074,319.0,1669364611.3658543
55.4718207,10.3250211,15.731,0.074,319.0,1669364612.3658576
55.4718207,10.3250211,15.731,0.074,319.0,1669364613.3658733
55.4718207,10.3250211,15.731,0.074,319.0,1669364614.3658037
55.4718207,10.3250211,15.731,0.074,319.0,1669364615.3658478
55.4718207,10.3250211,15.731,0.074,319.0,1669364616.365896
55.4718207,10.3250211,15.731,0.074,319.0,1669364617.365886
55.4718207,10.3250211,15.731,0.074,319.0,1669364618.3656871
55.4718207,10.3250211,15.731,0.074,319.0,1669364619.365842
55.4718207,10.3250211,15.731,0.074,319.0,1669364620.365746
55.4718207,10.3250211,15.731,0.074,319.0,1669364621.3657663
55.4718207,10.3250211,15.731,0.074,319.0,1669364622.3658803
55.4718207,10.3250211,15.731,0.074,319.0,1669364623.3658586
55.4718207,10.3250211,15.731,0.074,319.0,1669364624.3658695
55.4718207,10.3250211,15.731,0.074,319.0,1669364625.365746
55.4718207,10.3250211,15.731,0.074,319.0,1669364626.3658276
55.4718207,10.3250211,15.731,0.074,319.0,1669364627.3658752
55.4718207,10.3250211,15.731,0.074,319.0,1669364628.365837
55.4718207,10.3250211,15.731,0.074,319.0,1669364629.36586
55.4718207,10.3250211,15.731,0.074,319.0,1669364630.365853
55.4718207,10.3250211,15.731,0.074,319.0,1669364631.3658502
